Occurred On (NT),Cleared On (NT),MO Name,Name
03/01/2025 02:45,03/01/2025 02:50,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
03/01/2025 02:56,03/01/2025 02:59,"NodeB Name=GUASAL0479, LogicRNCID=160",NodeB Unavailable
03/01/2025 02:58,03/01/2025 03:00,"NodeB Name=NLEAPO0514, LogicRNCID=140",NodeB Unavailable
03/01/2025 03:28,03/01/2025 12:33,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
03/01/2025 03:28,03/01/2025 12:33,"NodeB Name=DURCNM0431, LogicRNCID=140",NodeB Unavailable
03/01/2025 03:28,03/01/2025 12:33,"NodeB Name=DURLRD0491, LogicRNCID=140",NodeB Unavailable
03/01/2025 04:47,03/01/2025 10:44,"NodeB Name=NLESNG0968, LogicRNCID=140",NodeB Unavailable
03/01/2025 05:45,03/01/2025 05:49,"NodeB Name=NLEMTY0859, LogicRNCID=140",NodeB Unavailable
03/01/2025 06:01,03/01/2025 08:28,"NodeB Name=NLEMTY0804, LogicRNCID=140",NodeB Unavailable
03/01/2025 07:21,03/01/2025 07:23,"NodeB Name=NLEMTY0794, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:12,03/01/2025 09:14,"NodeB Name=HTOR0018, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:12,03/01/2025 09:14,"NodeB Name=COA-4118_281_Revolucion, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:15,03/01/2025 09:22,"NodeB Name=NLEJRZ0703, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:25,03/01/2025 09:32,"NodeB Name=NLEJRZ0703, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0556, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1407, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1405, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0554, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0558, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1404, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0559, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1406, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ0557, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1409, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:43,03/01/2025 09:47,"NodeB Name=NLECDJ1408, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ0556, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ1407, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ1405, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ1409, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ0554, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ0559, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ1404, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ1406, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ1408, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ0558, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 09:57,"NodeB Name=NLECDJ0557, LogicRNCID=140",NodeB Unavailable
03/01/2025 09:55,03/01/2025 10:00,"NodeB Name=TAMGNZ1050, LogicRNCID=141",NodeB Unavailable
03/01/2025 10:03,03/01/2025 10:08,"NodeB Name=TAMGNZ1050, LogicRNCID=141",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ1407, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ0556, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ1405, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:10,"NodeB Name=NLECDJ1409, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ0558, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ0554, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ0557, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ1408, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ0559, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ1404, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:06,03/01/2025 10:08,"NodeB Name=NLECDJ1406, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:09,"NodeB Name=NLECDJ0556, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ1405, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ0554, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ0558, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ1407, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ0559, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ1406, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ1404, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ0557, LogicRNCID=140",NodeB Unavailable
03/01/2025 10:08,03/01/2025 10:10,"NodeB Name=NLECDJ1408, LogicRNCID=140",NodeB Unavailable
03/01/2025 11:36,03/01/2025 11:56,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 12:02,03/01/2025 12:07,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 12:06,03/01/2025 12:11,"NodeB Name=SUCOASLT7109Z, LogicRNCID=140",NodeB Unavailable
03/01/2025 12:19,03/01/2025 12:22,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 13:06,03/01/2025 13:51,"NodeB Name=SUCOASLT7109Z, LogicRNCID=140",NodeB Unavailable
03/01/2025 13:09,03/01/2025 13:36,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 13:39,03/01/2025 13:46,"NodeB Name=GUASIL0508, LogicRNCID=160",NodeB Unavailable
03/01/2025 14:10,03/01/2025 16:02,"NodeB Name=MUCOASLT4038, LogicRNCID=140",NodeB Unavailable
03/01/2025 14:14,03/01/2025 14:34,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 14:42,03/01/2025 14:44,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 14:46,03/01/2025 15:05,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 15:07,03/01/2025 15:11,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:11,03/01/2025 15:13,QRORNC162,NodeB Unavailable
03/01/2025 15:19,03/01/2025 15:21,QRORNC162,NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:37,"NodeB Name=COATOR0408, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:37,"NodeB Name=COATOR0420, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:38,"NodeB Name=COATOR0409, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:37,"NodeB Name=COATOR0394, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:37,"NodeB Name=COATOR0425, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:37,"NodeB Name=COATOR0392, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:21,03/01/2025 15:37,"NodeB Name=COATOR0407, LogicRNCID=140",NodeB Unavailable
03/01/2025 15:40,03/01/2025 16:44,"NodeB Name=QTOQTO1394, LogicRNCID=162",NodeB Unavailable
03/01/2025 16:09,03/01/2025 16:34,"NodeB Name=SUCOASLT7109Z, LogicRNCID=140",NodeB Unavailable
03/01/2025 16:13,03/01/2025 16:17,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
03/01/2025 16:30,03/01/2025 16:35,"NodeB Name=DURGOM2232, LogicRNCID=140",NodeB Unavailable
03/01/2025 16:40,03/01/2025 16:41,"NodeB Name=SUCOASLT7109Z, LogicRNCID=140",NodeB Unavailable
03/01/2025 16:48,03/01/2025 16:50,"NodeB Name=GUAFRI0207, LogicRNCID=160",NodeB Unavailable
03/01/2025 18:19,03/01/2025 18:27,"NodeB Name=NLEGDP1436, LogicRNCID=140",NodeB Unavailable
03/01/2025 19:04,03/01/2025 19:15,"NodeB Name=DURGOM2232, LogicRNCID=140",NodeB Unavailable
03/01/2025 19:22,04/01/2025 11:38,"NodeB Name=GUAFRI0207, LogicRNCID=160",NodeB Unavailable
03/01/2025 20:38,03/01/2025 20:43,"NodeB Name=DURGOM2232, LogicRNCID=140",NodeB Unavailable
03/01/2025 20:40,03/01/2025 20:42,"NodeB Name=SUQTOQTO7100Z, LogicRNCID=162",NodeB Unavailable
03/01/2025 20:57,03/01/2025 21:12,"NodeB Name=NLEMTY0823, LogicRNCID=140",NodeB Unavailable
03/01/2025 20:57,03/01/2025 21:02,"NodeB Name=DURGOM2232, LogicRNCID=140",NodeB Unavailable
03/01/2025 21:38,03/01/2025 21:44,"NodeB Name=HNLD0086, LogicRNCID=141",NodeB Unavailable
03/01/2025 22:06,03/01/2025 22:50,"NodeB Name=GUALEO0325, LogicRNCID=160",NodeB Unavailable
03/01/2025 22:44,03/01/2025 22:49,"NodeB Name=NLEJRZ0702, LogicRNCID=140",NodeB Unavailable
03/01/2025 23:08,03/01/2025 23:11,"NodeB Name=NLEMTY2334, LogicRNCID=140",NodeB Unavailable
03/01/2025 23:29,03/01/2025 23:34,"NodeB Name=SUNLEPGG7117Z, LogicRNCID=140",NodeB Unavailable
03/01/2025 23:52,03/01/2025 23:56,"NodeB Name=QTOTQQ2208, LogicRNCID=162",NodeB Unavailable
04/01/2025 01:17,04/01/2025 01:20,"NodeB Name=DURGOM0483, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:05,04/01/2025 02:07,"NodeB Name=SUNLEPGG7117Z, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:17,04/01/2025 02:21,"NodeB Name=SLPSLP1484, LogicRNCID=162",NodeB Unavailable
04/01/2025 02:25,04/01/2025 02:29,"NodeB Name=NLEMTY0804, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:29,04/01/2025 02:32,"NodeB Name=NLESNG0968, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:32,04/01/2025 02:36,"NodeB Name=NLEMTY0804, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:36,04/01/2025 02:39,"NodeB Name=NLESNG0968, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:43,04/01/2025 02:47,"NodeB Name=NLEAPO0531, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:47,04/01/2025 02:51,"NodeB Name=SUNLEPGG7117Z, LogicRNCID=140",NodeB Unavailable
04/01/2025 02:50,04/01/2025 02:53,"NodeB Name=NLEAPO0531, LogicRNCID=140",NodeB Unavailable
04/01/2025 07:25,04/01/2025 10:26,"NodeB Name=GUAVSN0548, LogicRNCID=160",NodeB Unavailable
04/01/2025 07:25,04/01/2025 10:26,"NodeB Name=GUAVSN0546, LogicRNCID=160",NodeB Unavailable
04/01/2025 07:25,04/01/2025 10:26,"NodeB Name=GUAVSN0545, LogicRNCID=160",NodeB Unavailable
04/01/2025 07:25,04/01/2025 10:26,"NodeB Name=GUAVSN0544, LogicRNCID=160",NodeB Unavailable
04/01/2025 07:25,04/01/2025 08:54,"NodeB Name=GUAJAR0289, LogicRNCID=160",NodeB Unavailable
04/01/2025 07:40,04/01/2025 07:43,"NodeB Name=ZACZAC1599, LogicRNCID=160",NodeB Unavailable
04/01/2025 08:12,04/01/2025 08:14,"NodeB Name=ZACVLN1587, LogicRNCID=160",NodeB Unavailable
04/01/2025 08:12,04/01/2025 08:14,"NodeB Name=ZACVLP1588, LogicRNCID=160",NodeB Unavailable
04/01/2025 08:28,04/01/2025 08:29,"NodeB Name=GUALEO0371, LogicRNCID=160",NodeB Unavailable
04/01/2025 08:34,04/01/2025 08:36,"NodeB Name=COASLT2216, LogicRNCID=140",NodeB Unavailable
04/01/2025 08:54,04/01/2025 09:08,"NodeB Name=GUAJAR0289, LogicRNCID=160",NodeB Unavailable
04/01/2025 09:09,04/01/2025 10:26,"NodeB Name=GUAJAR0289, LogicRNCID=160",NodeB Unavailable
04/01/2025 09:29,04/01/2025 09:34,"NodeB Name=GUAGUA0231, LogicRNCID=160",NodeB Unavailable
04/01/2025 09:29,04/01/2025 09:32,"NodeB Name=GUAGUA0221, LogicRNCID=160",NodeB Unavailable
04/01/2025 09:32,04/01/2025 09:37,"NodeB Name=GUAGUA0221, LogicRNCID=160",NodeB Unavailable
04/01/2025 09:38,04/01/2025 09:46,"NodeB Name=COA-4130_303_Los_Vinedos_(II), LogicRNCID=140",NodeB Unavailable
04/01/2025 09:38,04/01/2025 09:46,"NodeB Name=HTOR0055, LogicRNCID=140",NodeB Unavailable
04/01/2025 09:58,04/01/2025 09:59,"NodeB Name=NLESLV1564, LogicRNCID=140",NodeB Unavailable
04/01/2025 10:25,04/01/2025 10:29,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
04/01/2025 10:37,04/01/2025 10:40,"NodeB Name=COASJS0330, LogicRNCID=140",NodeB Unavailable
04/01/2025 10:38,04/01/2025 10:43,GUARNC160,NodeB Unavailable
04/01/2025 10:38,04/01/2025 10:42,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
04/01/2025 10:40,04/01/2025 10:49,"NodeB Name=COASJS0330, LogicRNCID=140",NodeB Unavailable
04/01/2025 10:49,04/01/2025 11:04,"NodeB Name=GUAIRA0265, LogicRNCID=160",NodeB Unavailable
04/01/2025 11:05,04/01/2025 11:07,"NodeB Name=NLEAPO0527, LogicRNCID=140",NodeB Unavailable
04/01/2025 13:02,04/01/2025 13:05,NodeB Name=CHHCHH0084,NodeB Unavailable
04/01/2025 13:39,04/01/2025 19:30,"NodeB Name=TAMVHS1692, LogicRNCID=141",NodeB Unavailable
04/01/2025 13:39,04/01/2025 19:28,"NodeB Name=TAMVHS1305, LogicRNCID=141",NodeB Unavailable
04/01/2025 13:39,04/01/2025 19:33,"NodeB Name=TAMVHS1307, LogicRNCID=141",NodeB Unavailable
04/01/2025 13:39,04/01/2025 19:32,"NodeB Name=TAMVHS1308, LogicRNCID=141",NodeB Unavailable
04/01/2025 15:16,04/01/2025 22:32,"NodeB Name=DURGOM0474, LogicRNCID=140",NodeB Unavailable
04/01/2025 15:22,04/01/2025 15:27,"NodeB Name=QTOSJR1442, LogicRNCID=162",NodeB Unavailable
04/01/2025 16:52,04/01/2025 16:56,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
04/01/2025 17:04,04/01/2025 17:08,"NodeB Name=DURLRD0490, LogicRNCID=140",NodeB Unavailable
04/01/2025 17:36,04/01/2025 17:38,"NodeB Name=DURGOM0477, LogicRNCID=140",NodeB Unavailable
04/01/2025 17:57,04/01/2025 18:00,"NodeB Name=GUAIRA0283, LogicRNCID=160",NodeB Unavailable
04/01/2025 17:57,04/01/2025 18:03,"NodeB Name=GUAIRA0248, LogicRNCID=160",NodeB Unavailable
04/01/2025 18:41,04/01/2025 18:44,"NodeB Name=DURGOM0477, LogicRNCID=140",NodeB Unavailable
04/01/2025 20:18,04/01/2025 20:23,"NodeB Name=TAMTAM1289, LogicRNCID=141",NodeB Unavailable
04/01/2025 23:38,04/01/2025 23:54,"NodeB Name=VERVER0668, LogicRNCID=171",NodeB Unavailable
04/01/2025 22:47,04/01/2025 23:05,"NodeB Name=VERVER0668, LogicRNCID=171",NodeB Unavailable
04/01/2025 22:04,04/01/2025 22:27,"NodeB Name=VERVER0668, LogicRNCID=171",NodeB Unavailable
04/01/2025 21:20,04/01/2025 21:22,"NodeB Name=JALZAP2265, LogicRNCID=150",NodeB Unavailable
04/01/2025 19:56,04/01/2025 20:02,"NodeB Name=JALZAP2042, LogicRNCID=150",NodeB Unavailable
04/01/2025 18:48,04/01/2025 18:52,"NodeB Name=PUEQUE0341, LogicRNCID=170",NodeB Unavailable
04/01/2025 16:14,04/01/2025 16:17,"NodeB Name=VEREMZ0533, LogicRNCID=171",NodeB Unavailable
04/01/2025 13:44,04/01/2025 20:25,"NodeB Name=PUEPUE0762, LogicRNCID=170",NodeB Unavailable
04/01/2025 13:44,04/01/2025 20:54,"NodeB Name=PUEPUE0759, LogicRNCID=170",NodeB Unavailable
04/01/2025 13:31,04/01/2025 13:35,"NodeB Name=VERPPT0615, LogicRNCID=171",NodeB Unavailable
04/01/2025 13:10,04/01/2025 13:14,"NodeB Name=VERMTT0567, LogicRNCID=171",NodeB Unavailable
04/01/2025 12:30,04/01/2025 12:37,"NodeB Name=VERPPT0615, LogicRNCID=171",NodeB Unavailable
04/01/2025 12:23,04/01/2025 12:31,"NodeB Name=GROCYB0079, LogicRNCID=170",NodeB Unavailable
04/01/2025 11:58,04/01/2025 12:01,"NodeB Name=PUEQUE0341, LogicRNCID=170",NodeB Unavailable
04/01/2025 11:07,04/01/2025 11:12,"NodeB Name=VERCTZ0508, LogicRNCID=171",NodeB Unavailable
04/01/2025 10:53,04/01/2025 10:55,"NodeB Name=JALTLZ2016, LogicRNCID=150",NodeB Unavailable
04/01/2025 10:34,04/01/2025 10:35,"NodeB Name=PUESAC1067, LogicRNCID=170",NodeB Unavailable
04/01/2025 10:31,04/01/2025 10:32,"NodeB Name=PUESAC1067, LogicRNCID=170",NodeB Unavailable
04/01/2025 10:28,04/01/2025 11:46,"NodeB Name=VERJMP0553, LogicRNCID=171",NodeB Unavailable
04/01/2025 10:27,04/01/2025 10:29,"NodeB Name=PUESAC1067, LogicRNCID=170",NodeB Unavailable
04/01/2025 10:20,04/01/2025 10:21,"NodeB Name=PUESAC1067, LogicRNCID=170",NodeB Unavailable
04/01/2025 09:14,04/01/2025 09:16,"NodeB Name=VERAGD0448, LogicRNCID=171",NodeB Unavailable
04/01/2025 09:08,04/01/2025 09:14,"NodeB Name=VERAGD0448, LogicRNCID=171",NodeB Unavailable
04/01/2025 08:36,04/01/2025 12:07,"NodeB Name=GROCYB0079, LogicRNCID=170",NodeB Unavailable
04/01/2025 08:12,04/01/2025 08:14,"NodeB Name=OAXAYO0099, LogicRNCID=170",NodeB Unavailable
04/01/2025 08:12,04/01/2025 08:14,"NodeB Name=OAXVTP0140, LogicRNCID=170",NodeB Unavailable
04/01/2025 08:12,04/01/2025 08:14,"NodeB Name=OAXPUT0131, LogicRNCID=170",NodeB Unavailable
04/01/2025 08:12,04/01/2025 08:14,"NodeB Name=GROATO0065, LogicRNCID=170",NodeB Unavailable
04/01/2025 07:48,04/01/2025 07:52,"NodeB Name=JALBAR2808, LogicRNCID=151",NodeB Unavailable
04/01/2025 07:42,04/01/2025 07:45,"NodeB Name=PUEOYN2180, LogicRNCID=170",NodeB Unavailable
04/01/2025 07:33,04/01/2025 07:38,"NodeB Name=GROIGU0082, LogicRNCID=170",NodeB Unavailable
04/01/2025 06:52,04/01/2025 06:56,"NodeB Name=VERTLY0643, LogicRNCID=171",NodeB Unavailable
04/01/2025 02:45,04/01/2025 02:48,VERRNC171,NodeB Unavailable
04/01/2025 02:42,04/01/2025 02:46,"NodeB Name=VERNOG0583, LogicRNCID=170",NodeB Unavailable
04/01/2025 02:38,04/01/2025 02:42,VERRNC171,NodeB Unavailable
04/01/2025 01:02,04/01/2025 01:04,"NodeB Name=VERAGD0448, LogicRNCID=171",NodeB Unavailable
04/01/2025 00:56,04/01/2025 01:02,"NodeB Name=VERAGD0448, LogicRNCID=171",NodeB Unavailable
04/01/2025 00:02,04/01/2025 00:05,"NodeB Name=OAXMRH7026, LogicRNCID=170",NodeB Unavailable
03/01/2025 23:39,03/01/2025 23:41,"NodeB Name=OAXMRH7026, LogicRNCID=170",NodeB Unavailable
03/01/2025 19:53,03/01/2025 19:57,"NodeB Name=VERALV0452, LogicRNCID=171",NodeB Unavailable
03/01/2025 18:48,03/01/2025 18:51,"NodeB Name=PUEQUE0341, LogicRNCID=170",NodeB Unavailable
03/01/2025 17:11,03/01/2025 17:19,"NodeB Name=VERVER0673, LogicRNCID=171",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=iACA0005, LogicRNCID=170",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=GROACA1153, LogicRNCID=170",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=GROACA0058, LogicRNCID=170",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=GROSMR1201, LogicRNCID=170",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=GROACA0032, LogicRNCID=170",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=GROACA0035, LogicRNCID=170",NodeB Unavailable
03/01/2025 15:48,03/01/2025 15:58,"NodeB Name=GROACA0019, LogicRNCID=170",NodeB Unavailable
03/01/2025 13:57,03/01/2025 14:02,"NodeB Name=PUESMT0359, LogicRNCID=170",NodeB Unavailable
03/01/2025 13:48,03/01/2025 13:54,"NodeB Name=GROCHB0073, LogicRNCID=170",NodeB Unavailable
03/01/2025 13:48,03/01/2025 13:54,"NodeB Name=GROCHB0068, LogicRNCID=170",NodeB Unavailable
03/01/2025 13:27,03/01/2025 14:13,"NodeB Name=VERBOR0476, LogicRNCID=171",NodeB Unavailable
03/01/2025 12:00,03/01/2025 12:07,"NodeB Name=VERAMR0858, LogicRNCID=170",NodeB Unavailable
03/01/2025 11:58,03/01/2025 12:04,"NodeB Name=MCR50-0013A_5013_Rancho_San_Francisco, LogicRNCID=151",NodeB Unavailable
03/01/2025 11:58,03/01/2025 12:00,"NodeB Name=VERAMR0858, LogicRNCID=170",NodeB Unavailable
03/01/2025 11:15,03/01/2025 14:33,"NodeB Name=VERTIH1696, LogicRNCID=171",NodeB Unavailable
03/01/2025 11:08,03/01/2025 11:11,"NodeB Name=PUEATX0152, LogicRNCID=170",NodeB Unavailable
03/01/2025 10:27,03/01/2025 10:28,"NodeB Name=PUESAC1067, LogicRNCID=170",NodeB Unavailable
03/01/2025 10:18,03/01/2025 10:21,"NodeB Name=SUVERCSQ7028Z, LogicRNCID=171",NodeB Unavailable
03/01/2025 10:13,03/01/2025 10:15,"NodeB Name=SUVERCSQ7028Z, LogicRNCID=171",NodeB Unavailable
03/01/2025 09:51,03/01/2025 10:00,"NodeB Name=VERJLN0552, LogicRNCID=171",NodeB Unavailable
03/01/2025 09:48,03/01/2025 09:50,"NodeB Name=OAXMRH7026, LogicRNCID=170",NodeB Unavailable
03/01/2025 08:35,03/01/2025 09:15,"NodeB Name=GROACA0025, LogicRNCID=170",NodeB Unavailable
03/01/2025 08:17,03/01/2025 08:24,"NodeB Name=iACA0005, LogicRNCID=170",NodeB Unavailable
03/01/2025 08:17,03/01/2025 08:25,"NodeB Name=GROSMR1201, LogicRNCID=170",NodeB Unavailable
03/01/2025 08:17,03/01/2025 08:25,"NodeB Name=GROACA0019, LogicRNCID=170",NodeB Unavailable
03/01/2025 08:17,03/01/2025 08:25,"NodeB Name=GROACA0058, LogicRNCID=170",NodeB Unavailable
